user_id,age,gender,location,favorite_categories,user_preferences
0,26,Male,Location C,"['Home', 'Electronics']","{'favorite_categories': ['Home', 'Electronics'], 'favorite_brands': [], 'product_features': {'color': 'Green', 'size': 'Medium', 'material': 'Leather', 'technical_specs': []}}"
1,44,Male,Location C,"['Beauty', 'Beauty']","{'favorite_categories': ['Beauty', 'Beauty'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Medium', 'material': 'Leather', 'technical_specs': []}}"
2,19,Female,Location A,"['Beauty', 'Beauty']","{'favorite_categories': ['Beauty', 'Beauty'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Small', 'material': 'Cotton', 'technical_specs': []}}"
3,42,Female,Location B,"['Beauty', 'Home']","{'favorite_categories': ['Beauty', 'Home'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Large', 'material': 'Plastic', 'technical_specs': []}}"
4,47,Female,Location A,"['Clothing', 'Home']","{'favorite_categories': ['Clothing', 'Home'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Medium', 'material': 'Leather', 'technical_specs': []}}"
5,53,Male,Location B,"['Clothing', 'Clothing']","{'favorite_categories': ['Clothing', 'Clothing'], 'favorite_brands': [], 'product_features': {'color': 'Green', 'size': 'Large', 'material': 'Cotton', 'technical_specs': []}}"
6,44,Female,Location B,"['Clothing', 'Beauty']","{'favorite_categories': ['Clothing', 'Beauty'], 'favorite_brands': [], 'product_features': {'color': 'Green', 'size': 'Medium', 'material': 'Cotton', 'technical_specs': []}}"
7,33,Female,Location C,"['Home', 'Electronics']","{'favorite_categories': ['Home', 'Electronics'], 'favorite_brands': [], 'product_features': {'color': 'Green', 'size': 'Medium', 'material': 'Leather', 'technical_specs': []}}"
8,55,Male,Location B,"['Clothing', 'Beauty']","{'favorite_categories': ['Clothing', 'Beauty'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Small', 'material': 'Plastic', 'technical_specs': []}}"
9,48,Female,Location A,"['Clothing', 'Clothing']","{'favorite_categories': ['Clothing', 'Clothing'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Large', 'material': 'Leather', 'technical_specs': []}}"
10,55,Male,Location B,"['Beauty', 'Electronics']","{'favorite_categories': ['Beauty', 'Electronics'], 'favorite_brands': [], 'product_features': {'color': 'Green', 'size': 'Medium', 'material': 'Plastic', 'technical_specs': []}}"
11,42,Female,Location C,"['Electronics', 'Electronics']","{'favorite_categories': ['Electronics', 'Electronics'], 'favorite_brands': [], 'product_features': {'color': 'Green', 'size': 'Small', 'material': 'Leather', 'technical_specs': []}}"
12,21,Male,Location C,"['Clothing', 'Electronics']","{'favorite_categories': ['Clothing', 'Electronics'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Large', 'material': 'Cotton', 'technical_specs': []}}"
13,23,Male,Location A,"['Home', 'Home']","{'favorite_categories': ['Home', 'Home'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Large', 'material': 'Plastic', 'technical_specs': []}}"
14,43,Male,Location A,"['Home', 'Electronics']","{'favorite_categories': ['Home', 'Electronics'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Small', 'material': 'Plastic', 'technical_specs': []}}"
15,59,Female,Location B,"['Home', 'Beauty']","{'favorite_categories': ['Home', 'Beauty'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Small', 'material': 'Cotton', 'technical_specs': []}}"
16,21,Female,Location B,"['Electronics', 'Clothing']","{'favorite_categories': ['Electronics', 'Clothing'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Medium', 'material': 'Cotton', 'technical_specs': []}}"
17,54,Female,Location A,"['Electronics', 'Home']","{'favorite_categories': ['Electronics', 'Home'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Large', 'material': 'Plastic', 'technical_specs': []}}"
18,40,Female,Location C,"['Beauty', 'Electronics']","{'favorite_categories': ['Beauty', 'Electronics'], 'favorite_brands': [], 'product_features': {'color': 'Green', 'size': 'Small', 'material': 'Cotton', 'technical_specs': []}}"
19,58,Male,Location A,"['Home', 'Electronics']","{'favorite_categories': ['Home', 'Electronics'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Small', 'material': 'Plastic', 'technical_specs': []}}"
20,24,Male,Location C,"['Beauty', 'Home']","{'favorite_categories': ['Beauty', 'Home'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Small', 'material': 'Plastic', 'technical_specs': []}}"
21,55,Male,Location B,"['Home', 'Beauty']","{'favorite_categories': ['Home', 'Beauty'], 'favorite_brands': [], 'product_features': {'color': 'Green', 'size': 'Large', 'material': 'Leather', 'technical_specs': []}}"
22,51,Female,Location A,"['Beauty', 'Electronics']","{'favorite_categories': ['Beauty', 'Electronics'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Large', 'material': 'Plastic', 'technical_specs': []}}"
23,60,Female,Location B,"['Home', 'Electronics']","{'favorite_categories': ['Home', 'Electronics'], 'favorite_brands': [], 'product_features': {'color': 'Green', 'size': 'Small', 'material': 'Plastic', 'technical_specs': []}}"
24,58,Female,Location C,"['Home', 'Beauty']","{'favorite_categories': ['Home', 'Beauty'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Small', 'material': 'Leather', 'technical_specs': []}}"
25,36,Male,Location B,"['Clothing', 'Home']","{'favorite_categories': ['Clothing', 'Home'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Small', 'material': 'Cotton', 'technical_specs': []}}"
26,38,Male,Location C,"['Clothing', 'Beauty']","{'favorite_categories': ['Clothing', 'Beauty'], 'favorite_brands': [], 'product_features': {'color': 'Green', 'size': 'Small', 'material': 'Cotton', 'technical_specs': []}}"
27,45,Male,Location B,"['Electronics', 'Clothing']","{'favorite_categories': ['Electronics', 'Clothing'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Small', 'material': 'Cotton', 'technical_specs': []}}"
28,34,Female,Location B,"['Beauty', 'Electronics']","{'favorite_categories': ['Beauty', 'Electronics'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Large', 'material': 'Cotton', 'technical_specs': []}}"
29,52,Male,Location C,"['Clothing', 'Electronics']","{'favorite_categories': ['Clothing', 'Electronics'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Large', 'material': 'Leather', 'technical_specs': []}}"
30,51,Female,Location C,"['Home', 'Electronics']","{'favorite_categories': ['Home', 'Electronics'], 'favorite_brands': [], 'product_features': {'color': 'Green', 'size': 'Medium', 'material': 'Plastic', 'technical_specs': []}}"
31,45,Female,Location C,"['Beauty', 'Home']","{'favorite_categories': ['Beauty', 'Home'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Large', 'material': 'Leather', 'technical_specs': []}}"
32,53,Female,Location A,"['Electronics', 'Clothing']","{'favorite_categories': ['Electronics', 'Clothing'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Medium', 'material': 'Cotton', 'technical_specs': []}}"
33,55,Female,Location C,"['Clothing', 'Beauty']","{'favorite_categories': ['Clothing', 'Beauty'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Medium', 'material': 'Plastic', 'technical_specs': []}}"
34,25,Female,Location A,"['Electronics', 'Clothing']","{'favorite_categories': ['Electronics', 'Clothing'], 'favorite_brands': [], 'product_features': {'color': 'Green', 'size': 'Large', 'material': 'Plastic', 'technical_specs': []}}"
35,38,Female,Location A,"['Beauty', 'Electronics']","{'favorite_categories': ['Beauty', 'Electronics'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Medium', 'material': 'Leather', 'technical_specs': []}}"
36,47,Female,Location C,"['Clothing', 'Home']","{'favorite_categories': ['Clothing', 'Home'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Medium', 'material': 'Plastic', 'technical_specs': []}}"
37,32,Male,Location B,"['Beauty', 'Home']","{'favorite_categories': ['Beauty', 'Home'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Small', 'material': 'Leather', 'technical_specs': []}}"
38,36,Female,Location C,"['Electronics', 'Electronics']","{'favorite_categories': ['Electronics', 'Electronics'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Small', 'material': 'Plastic', 'technical_specs': []}}"
39,36,Male,Location A,"['Beauty', 'Beauty']","{'favorite_categories': ['Beauty', 'Beauty'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Large', 'material': 'Cotton', 'technical_specs': []}}"
40,42,Female,Location A,"['Home', 'Home']","{'favorite_categories': ['Home', 'Home'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Medium', 'material': 'Cotton', 'technical_specs': []}}"
41,56,Female,Location C,"['Electronics', 'Home']","{'favorite_categories': ['Electronics', 'Home'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Large', 'material': 'Leather', 'technical_specs': []}}"
42,42,Male,Location A,"['Electronics', 'Electronics']","{'favorite_categories': ['Electronics', 'Electronics'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Small', 'material': 'Plastic', 'technical_specs': []}}"
43,41,Male,Location B,"['Home', 'Clothing']","{'favorite_categories': ['Home', 'Clothing'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Small', 'material': 'Leather', 'technical_specs': []}}"
44,18,Male,Location C,"['Clothing', 'Beauty']","{'favorite_categories': ['Clothing', 'Beauty'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Medium', 'material': 'Leather', 'technical_specs': []}}"
45,24,Female,Location B,"['Home', 'Home']","{'favorite_categories': ['Home', 'Home'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Large', 'material': 'Leather', 'technical_specs': []}}"
46,45,Male,Location A,"['Electronics', 'Home']","{'favorite_categories': ['Electronics', 'Home'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Large', 'material': 'Plastic', 'technical_specs': []}}"
47,19,Male,Location C,"['Home', 'Electronics']","{'favorite_categories': ['Home', 'Electronics'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Large', 'material': 'Plastic', 'technical_specs': []}}"
48,29,Male,Location C,"['Clothing', 'Home']","{'favorite_categories': ['Clothing', 'Home'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Small', 'material': 'Plastic', 'technical_specs': []}}"
49,31,Female,Location B,"['Electronics', 'Beauty']","{'favorite_categories': ['Electronics', 'Beauty'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Large', 'material': 'Leather', 'technical_specs': []}}"
50,30,Male,Location C,"['Home', 'Clothing']","{'favorite_categories': ['Home', 'Clothing'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Medium', 'material': 'Cotton', 'technical_specs': []}}"
51,46,Male,Location B,"['Clothing', 'Clothing']","{'favorite_categories': ['Clothing', 'Clothing'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Large', 'material': 'Leather', 'technical_specs': []}}"
52,52,Male,Location C,"['Beauty', 'Beauty']","{'favorite_categories': ['Beauty', 'Beauty'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Medium', 'material': 'Plastic', 'technical_specs': []}}"
53,32,Male,Location C,"['Home', 'Beauty']","{'favorite_categories': ['Home', 'Beauty'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Small', 'material': 'Leather', 'technical_specs': []}}"
54,40,Female,Location C,"['Beauty', 'Beauty']","{'favorite_categories': ['Beauty', 'Beauty'], 'favorite_brands': [], 'product_features': {'color': 'Green', 'size': 'Medium', 'material': 'Plastic', 'technical_specs': []}}"
55,29,Female,Location A,"['Home', 'Home']","{'favorite_categories': ['Home', 'Home'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Large', 'material': 'Cotton', 'technical_specs': []}}"
56,28,Male,Location C,"['Electronics', 'Beauty']","{'favorite_categories': ['Electronics', 'Beauty'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Large', 'material': 'Leather', 'technical_specs': []}}"
57,56,Female,Location A,"['Home', 'Beauty']","{'favorite_categories': ['Home', 'Beauty'], 'favorite_brands': [], 'product_features': {'color': 'Green', 'size': 'Medium', 'material': 'Leather', 'technical_specs': []}}"
58,47,Male,Location C,"['Electronics', 'Home']","{'favorite_categories': ['Electronics', 'Home'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Small', 'material': 'Plastic', 'technical_specs': []}}"
59,25,Male,Location C,"['Electronics', 'Clothing']","{'favorite_categories': ['Electronics', 'Clothing'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Medium', 'material': 'Leather', 'technical_specs': []}}"
60,19,Male,Location A,"['Clothing', 'Home']","{'favorite_categories': ['Clothing', 'Home'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Large', 'material': 'Leather', 'technical_specs': []}}"
61,27,Female,Location A,"['Home', 'Home']","{'favorite_categories': ['Home', 'Home'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Large', 'material': 'Cotton', 'technical_specs': []}}"
62,47,Female,Location B,"['Beauty', 'Electronics']","{'favorite_categories': ['Beauty', 'Electronics'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Medium', 'material': 'Plastic', 'technical_specs': []}}"
63,58,Female,Location A,"['Beauty', 'Clothing']","{'favorite_categories': ['Beauty', 'Clothing'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Medium', 'material': 'Plastic', 'technical_specs': []}}"
64,23,Male,Location C,"['Electronics', 'Clothing']","{'favorite_categories': ['Electronics', 'Clothing'], 'favorite_brands': [], 'product_features': {'color': 'Green', 'size': 'Medium', 'material': 'Leather', 'technical_specs': []}}"
65,43,Male,Location C,"['Clothing', 'Home']","{'favorite_categories': ['Clothing', 'Home'], 'favorite_brands': [], 'product_features': {'color': 'Green', 'size': 'Large', 'material': 'Plastic', 'technical_specs': []}}"
66,49,Female,Location B,"['Clothing', 'Home']","{'favorite_categories': ['Clothing', 'Home'], 'favorite_brands': [], 'product_features': {'color': 'Green', 'size': 'Medium', 'material': 'Plastic', 'technical_specs': []}}"
67,58,Female,Location B,"['Electronics', 'Beauty']","{'favorite_categories': ['Electronics', 'Beauty'], 'favorite_brands': [], 'product_features': {'color': 'Green', 'size': 'Large', 'material': 'Leather', 'technical_specs': []}}"
68,23,Female,Location C,"['Home', 'Clothing']","{'favorite_categories': ['Home', 'Clothing'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Small', 'material': 'Plastic', 'technical_specs': []}}"
69,36,Male,Location A,"['Home', 'Electronics']","{'favorite_categories': ['Home', 'Electronics'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Large', 'material': 'Leather', 'technical_specs': []}}"
70,38,Male,Location C,"['Beauty', 'Beauty']","{'favorite_categories': ['Beauty', 'Beauty'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Medium', 'material': 'Plastic', 'technical_specs': []}}"
71,50,Female,Location A,"['Home', 'Beauty']","{'favorite_categories': ['Home', 'Beauty'], 'favorite_brands': [], 'product_features': {'color': 'Green', 'size': 'Large', 'material': 'Plastic', 'technical_specs': []}}"
72,46,Female,Location A,"['Home', 'Clothing']","{'favorite_categories': ['Home', 'Clothing'], 'favorite_brands': [], 'product_features': {'color': 'Green', 'size': 'Large', 'material': 'Plastic', 'technical_specs': []}}"
73,30,Female,Location B,"['Home', 'Beauty']","{'favorite_categories': ['Home', 'Beauty'], 'favorite_brands': [], 'product_features': {'color': 'Green', 'size': 'Small', 'material': 'Leather', 'technical_specs': []}}"
74,34,Female,Location A,"['Clothing', 'Beauty']","{'favorite_categories': ['Clothing', 'Beauty'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Small', 'material': 'Plastic', 'technical_specs': []}}"
75,18,Male,Location B,"['Beauty', 'Home']","{'favorite_categories': ['Beauty', 'Home'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Small', 'material': 'Cotton', 'technical_specs': []}}"
76,43,Female,Location B,"['Beauty', 'Beauty']","{'favorite_categories': ['Beauty', 'Beauty'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Small', 'material': 'Leather', 'technical_specs': []}}"
77,25,Male,Location B,"['Home', 'Beauty']","{'favorite_categories': ['Home', 'Beauty'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Medium', 'material': 'Cotton', 'technical_specs': []}}"
78,18,Male,Location B,"['Home', 'Clothing']","{'favorite_categories': ['Home', 'Clothing'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Small', 'material': 'Leather', 'technical_specs': []}}"
79,38,Male,Location C,"['Beauty', 'Clothing']","{'favorite_categories': ['Beauty', 'Clothing'], 'favorite_brands': [], 'product_features': {'color': 'Green', 'size': 'Medium', 'material': 'Cotton', 'technical_specs': []}}"
80,38,Male,Location A,"['Clothing', 'Home']","{'favorite_categories': ['Clothing', 'Home'], 'favorite_brands': [], 'product_features': {'color': 'Green', 'size': 'Large', 'material': 'Cotton', 'technical_specs': []}}"
81,36,Female,Location A,"['Home', 'Clothing']","{'favorite_categories': ['Home', 'Clothing'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Large', 'material': 'Plastic', 'technical_specs': []}}"
82,31,Male,Location A,"['Electronics', 'Home']","{'favorite_categories': ['Electronics', 'Home'], 'favorite_brands': [], 'product_features': {'color': 'Green', 'size': 'Small', 'material': 'Cotton', 'technical_specs': []}}"
83,30,Female,Location C,"['Home', 'Clothing']","{'favorite_categories': ['Home', 'Clothing'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Large', 'material': 'Leather', 'technical_specs': []}}"
84,30,Female,Location B,"['Home', 'Clothing']","{'favorite_categories': ['Home', 'Clothing'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Small', 'material': 'Plastic', 'technical_specs': []}}"
85,45,Male,Location C,"['Electronics', 'Beauty']","{'favorite_categories': ['Electronics', 'Beauty'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Small', 'material': 'Cotton', 'technical_specs': []}}"
86,50,Male,Location A,"['Electronics', 'Home']","{'favorite_categories': ['Electronics', 'Home'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Large', 'material': 'Plastic', 'technical_specs': []}}"
87,18,Male,Location B,"['Home', 'Clothing']","{'favorite_categories': ['Home', 'Clothing'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Small', 'material': 'Cotton', 'technical_specs': []}}"
88,53,Female,Location C,"['Clothing', 'Home']","{'favorite_categories': ['Clothing', 'Home'], 'favorite_brands': [], 'product_features': {'color': 'Green', 'size': 'Medium', 'material': 'Plastic', 'technical_specs': []}}"
89,48,Female,Location C,"['Electronics', 'Home']","{'favorite_categories': ['Electronics', 'Home'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Medium', 'material': 'Leather', 'technical_specs': []}}"
90,25,Male,Location A,"['Beauty', 'Electronics']","{'favorite_categories': ['Beauty', 'Electronics'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Large', 'material': 'Leather', 'technical_specs': []}}"
91,48,Female,Location C,"['Electronics', 'Clothing']","{'favorite_categories': ['Electronics', 'Clothing'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Small', 'material': 'Cotton', 'technical_specs': []}}"
92,31,Male,Location A,"['Home', 'Beauty']","{'favorite_categories': ['Home', 'Beauty'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Medium', 'material': 'Cotton', 'technical_specs': []}}"
93,51,Female,Location C,"['Home', 'Home']","{'favorite_categories': ['Home', 'Home'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Large', 'material': 'Leather', 'technical_specs': []}}"
94,34,Male,Location C,"['Home', 'Beauty']","{'favorite_categories': ['Home', 'Beauty'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Small', 'material': 'Cotton', 'technical_specs': []}}"
95,44,Male,Location C,"['Clothing', 'Beauty']","{'favorite_categories': ['Clothing', 'Beauty'], 'favorite_brands': [], 'product_features': {'color': 'Green', 'size': 'Small', 'material': 'Cotton', 'technical_specs': []}}"
96,20,Male,Location B,"['Electronics', 'Electronics']","{'favorite_categories': ['Electronics', 'Electronics'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Small', 'material': 'Leather', 'technical_specs': []}}"
97,57,Female,Location C,"['Beauty', 'Beauty']","{'favorite_categories': ['Beauty', 'Beauty'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Small', 'material': 'Plastic', 'technical_specs': []}}"
98,36,Female,Location B,"['Beauty', 'Electronics']","{'favorite_categories': ['Beauty', 'Electronics'], 'favorite_brands': [], 'product_features': {'color': 'Green', 'size': 'Medium', 'material': 'Leather', 'technical_specs': []}}"
99,47,Male,Location A,"['Electronics', 'Electronics']","{'favorite_categories': ['Electronics', 'Electronics'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Medium', 'material': 'Cotton', 'technical_specs': []}}"
